Código,Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
21801,ANCASH,SANTA,CHIMBOTE,15457,21060,3458
21802,ANCASH,SANTA,CACERES DEL PERU,182,407,895
21803,ANCASH,SANTA,COISHCO,2854,3013,85
21804,ANCASH,SANTA,MACATE,115,739,212
21805,ANCASH,SANTA,MORO,201,862,919
21806,ANCASH,SANTA,NEPENA,1095,926,383
21807,ANCASH,SANTA,SAMANCO,285,612,104
21808,ANCASH,SANTA,SANTA,2233,2661,590
21809,ANCASH,SANTA,NUEVO CHIMBOTE,18173,24262,2022
21901,ANCASH,SIHUAS,SIHUAS,89,725,253
21902,ANCASH,SIHUAS,ACOBAMBA,14,469,172
21903,ANCASH,SIHUAS,ALFONSO UGARTE,18,79,62
21904,ANCASH,SIHUAS,CASHAPAMPA,33,248,488
21905,ANCASH,SIHUAS,CHINGALPO,20,190,99
21906,ANCASH,SIHUAS,HUAYLLABAMBA,36,737,440
21907,ANCASH,SIHUAS,QUICHES,30,559,190
21908,ANCASH,SIHUAS,RAGASH,21,313,443
21909,ANCASH,SIHUAS,SAN JUAN,136,582,1932
21910,ANCASH,SIHUAS,SICSIBAMBA,3,193,167
22001,ANCASH,YUNGAY,YUNGAY,854,2346,2804
22002,ANCASH,YUNGAY,CASCAPARA,22,321,253
22003,ANCASH,YUNGAY,MANCOS,871,823,821
22004,ANCASH,YUNGAY,MATACOTO,96,245,99
22005,ANCASH,YUNGAY,QUILLO,119,638,2994
22006,ANCASH,YUNGAY,RANRAHIRCA,178,457,261
22007,ANCASH,YUNGAY,SHUPLUY,57,365,242
22008,ANCASH,YUNGAY,YANAMA,108,962,758
30101,APURIMAC,ABANCAY,ABANCAY,20643,52167,67818
30102,APURIMAC,ABANCAY,CHACOCHE,20643,52167,67818
30103,APURIMAC,ABANCAY,CIRCA,99,350,419
30104,APURIMAC,ABANCAY,CURAHUASI,1257,2387,1787
30105,APURIMAC,ABANCAY,HUANIPACA,68,489,881
30106,APURIMAC,ABANCAY,LAMBRAMA,64,174,1100
30107,APURIMAC,ABANCAY,PICHIRHUA,111,203,935
30108,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,57,175,807
30109,APURIMAC,ABANCAY,TAMBURCO,805,1291,733
30201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,2561,4850,3117
30202,APURIMAC,ANDAHUAYLAS,ANDARAPA,92,722,1830
30203,APURIMAC,ANDAHUAYLAS,CHIARA,13,162,349
