Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
APURIMAC,ANTABAMBA,EL ORO,18,34,188
APURIMAC,ANTABAMBA,HUAQUIRCA,25,293,342
APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,19,449,302
APURIMAC,ANTABAMBA,OROPESA,60,150,674
APURIMAC,ANTABAMBA,PACHACONAS,39,234,112
APURIMAC,ANTABAMBA,SABAINO,25,84,509
APURIMAC,AYMARAES,CHALHUANCA,227,700,343
APURIMAC,AYMARAES,CAPAYA,43,134,94
APURIMAC,AYMARAES,CARAYBAMBA,18,128,296
APURIMAC,AYMARAES,CHAPIMARCA,49,227,536
APURIMAC,AYMARAES,COLCABAMBA,47,85,214
APURIMAC,AYMARAES,COTARUSE,319,354,334
APURIMAC,AYMARAES,HUAYLLO,33,99,160
APURIMAC,AYMARAES,JUSTO APU SAHUARAURA,27,59,299
APURIMAC,AYMARAES,LUCRE,56,272,408
APURIMAC,AYMARAES,POCOHUANCA,50,139,279
APURIMAC,AYMARAES,SAN JUAN DE CHACÑA,34,73,177
APURIMAC,AYMARAES,SAÑAYCA,26,181,281
APURIMAC,AYMARAES,SORAYA,24,67,285
APURIMAC,AYMARAES,TAPAIRIHUA,60,293,420
APURIMAC,AYMARAES,TINTAY,60,453,617
APURIMAC,AYMARAES,TORAYA,48,83,504
APURIMAC,AYMARAES,YANACA,34,179,297
APURIMAC,COTABAMBAS,TAMBOBAMBA,449,1799,2066
APURIMAC,COTABAMBAS,COTABAMBAS,94,295,1330
APURIMAC,COTABAMBAS,COYLLURQUI,179,743,2256
APURIMAC,COTABAMBAS,HAQUIRA,313,1487,1784
APURIMAC,COTABAMBAS,MARA,158,808,1784
APURIMAC,COTABAMBAS,CHALLHUAHUACHO,1151,881,2011
APURIMAC,CHINCHEROS,CHINCHEROS,243,893,711
APURIMAC,CHINCHEROS,ANCO_HUALLO,463,2039,1569
APURIMAC,CHINCHEROS,COCHARCAS,36,81,765
APURIMAC,CHINCHEROS,HUACCANA,103,649,1692
APURIMAC,CHINCHEROS,OCOBAMBA,184,866,1824
APURIMAC,CHINCHEROS,ONGOY,112,276,946
APURIMAC,CHINCHEROS,URANMARCA,60,696,382
APURIMAC,CHINCHEROS,RANRACANCHA,57,920,519
APURIMAC,CHINCHEROS,ROCCHACC,38,395,839
