Código,Departamento,Aún no había nacido,"Sí, vivía hace 5 años en este distrito",No vivía hace 5 años en este distrito
Código,Provincia,Aúnnohabíanacido,Sívivíahace5añosenestedistrito,Novivíahace5añosenestedistrito
1703,Madre de Dios prov. de Tahuamanu,1140,7228,2679
1801,"Moquegua, provincia: Mariscal Nieto",6276,67614,11459
1802,"Moquegua, provincia: General Sánchez Cerro",964,12656,1245
1803,"Moquegua, provincia: Ilo",5784,61391,7474
1901,"Pasco, provincia: Pasco",10593,100789,11633
1902,"Pasco, provincia: Daniel Alcides Carrión",2844,39454,1282
1903,"Pasco, provincia: Oxapampa",9180,68412,9878
2001,"Piura, provincia: Piura",75400,611075,112846
2002,"Piura, provincia: Ayabaca",12656,103804,2827
2003,"Piura, provincia: Huancabamba",11291,96688,3522
2004,"Piura, provincia: Morropón",15226,139176,7625
2005,"Piura, provincia: Paita",14128,108875,6889
2006,"Piura, provincia: Sullana",27970,268258,15226
2007,"Piura, provincia: Talara",13051,119444,11655
2008,"Piura, provincia: Sechura",10058,65097,4022
2101,"Puno, provincia: Puno",15571,188371,15552
2102,"Puno, provincia: Azángaro",9070,98135,3187
2103,"Puno, provincia: Carabaya",6412,63702,3208
2104,"Puno, provincia: Chucuito",5972,80124,2906
2105,"Puno, provincia: El Collao",3880,57874,2124
2106,"Puno, provincia: Huancané",3784,52061,1806
2107,"Puno, provincia: Lampa",3403,35347,2106
2108,"Puno, provincia: Melgar",5017,57589,4532
2109,"Puno, provincia: Moho",1029,18319,405
2110,"Puno, provincia: San Antonio de Putina",2630,28759,4724
2111,"Puno, provincia: San Román",26606,213737,67074
2112,"Puno, provincia: Sandia",4077,43389,3276
2113,"Puno, provincia: Yunguyo",2211,33502,1226
2201,"San Martín, provincia: Moyobamba",12061,97410,12894
2202,"San Martín, provincia: Bellavista",5961,43135,5937
2203,"San Martín, provincia: El Dorado",4075,30440,2237
2204,"San Martín, provincia: Huallaga",2719,21922,2865
2205,"San Martín, provincia: Lamas",8231,67525,5765
2206,"San Martín, provincia: Mariscal Cáceres",6761,50117,7748
2207,"San Martín, provincia: Picota",4267,31724,4554
2208,"San Martín, provincia: Rioja",13204,95173,14167
2209,"San Martín, provincia: San Martín",17126,142432,33537
2210,"San Martín, provincia: Tocache",6912,52949,9533
2301,"Tacna, provincia: Tacna",22398,236362,47603
2302,"Tacna, provincia: Candarave",345,5422,335
2303,"Tacna, provincia: Jorge Basadre",748,7516,2509
2304,"Tacna, provincia: Tarata",333,4663,1098
2401,"Tumbes, provincia: Tumbes",14209,129493,11260
2402,"Tumbes, provincia: Contralmirante Villar",2083,16505,2469
2403,"Tumbes, provincia: Zarumilla",5403,38218,5223
2501,"Ucayali, provincia: Coronel Portillo",41662,293454,49052
2502,"Ucayali, provincia: Atalaya",7529,38079,3716
2503,"Ucayali, provincia: Padre Abad",6923,45314,7870
2504,"Ucayali, provincia: Purús",370,2332,158
